Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG262752	tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens GN=QARS PE=1 SV=1	736	61.68	5.163	11.82	1	175	44	40	26	20	18	0.0	2	2	7542.273977	11189.85576	11153.44619	9135.500829	13184.99785	9608.966035	A0A1B0GVU9	QARS	A0A1B0GVU9	30782.88785	5584.94023	7112.08383175	12318.5739725	5757.77932325	6348.512030875	9038.176647875	0.5096132627004764	0.336339955900575	0.327427326946914
PG247949	sp|Q14738|2A5D_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens GN=PPP2R5D PE=1 SV=1	602	43.02	7.807	6.811	2	72	25	21	8	7	6	0.0	1	1	7888.087051	9897.902518	9252.510821	8730.65232	11178.71384	11579.26649	Q14738|E9PFR3	PPP2R5D	Q14738	30739.580235	9471.28229525	7809.11331375	8071.8487895	5568.73812275	8640.1978045	6820.293456125	-0.3412305258389558	0.153551825865864	0.226571171148717
PG242819	sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1	1648	12.68	12.68	1.335	1	30	21	0	1	1	0	9.55e-256	1	1	13362.31365	10962.00326	13525.15236	12169.89791	15754.04518	9959.65914	Q15058	KIF14	Q15058	30724.215566	3581.796012	4971.46392475	12072.940825	9934.88959675	4276.629968375	11003.915210874999	1.3634706385106874	0.0012937768790591	0.0286962942766884
PG245529	sp|Q6P4F7|RHGBA_HUMAN Rho GTPase-activating protein 11A OS=Homo sapiens GN=ARHGAP11A PE=1 SV=2	1023	16.91	16.91	0.391	1	77	15	0	2	2	0	2.66e-200	2	2	5729.697242	8353.068942	8084.575868	6550.843364	8242.432937	7763.575355	Q6P4F7	ARHGAP11A	Q6P4F7	30723.296469	7940.36581925	7585.68600625	7744.508871	7514.23129325	7763.025912749999	7629.370082125	-0.025055157176050186	0.708592818797524	0.465764748700361
PG244095	sp|Q12986|NFX1_HUMAN Transcriptional repressor NF-X1 OS=Homo sapiens GN=NFX1 PE=1 SV=2	1120	8.839	8.839	2.232	2	34	9	0	1	1	0	5.68e-128	1	1	5771.998596	8998.536511	8351.715485	7926.287078	8911.107033	8650.681134	Q12986|Q12986-2	NFX1	Q12986	30712.221063999998	9257.9194025	7797.9630477499995	7632.856783499999	6201.41580875	8527.941225125	6917.136296125	-0.30202261127847263	0.0905071769536951	0.180726282675101
PG262640	tr|H3BQK9|H3BQK9_HUMAN Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=1	7592	15.58	0.5137	1.515	2	208	101	97	26	26	25	0.0	1	1	6746.130374	9478.95933	7185.650407	8091.723334	7126.27013	7248.055529	H3BQK9|H3BPE1	MACF1	H3BQK9	30599.549482000002	9092.196352750001	7981.284697499999	7671.295211250001	6049.20255575	8536.740525125	6860.2488835	-0.31542441212045047	0.0788162935188402	0.171909733845811
PG249839	sp|Q2TBE0|C19L2_HUMAN CWF19-like protein 2 OS=Homo sapiens GN=CWF19L2 PE=1 SV=4	894	9.843	9.843	1.007	1	22	8	0	1	1	0	6.33e-105	1	1	7299.701948	7566.243792	9084.291846	7886.194539	7290.830859	6889.667207	Q2TBE0	CWF19L2	Q2TBE0	30549.746905	8147.2953045	6979.785675	7420.2134945	7963.84256	7563.54048975	7692.02802725	0.024302301972999877	0.793070445441457	0.489604223335088
PG249373	sp|Q8WY22|BRI3B_HUMAN BRI3-binding protein OS=Homo sapiens GN=BRI3BP PE=1 SV=1	251	23.51	23.51	9.163	1	13	6	1	3	3	1	2.7200000000000004e-73	2	2	6302.477519	7725.801676	6365.385858	6995.356181	9797.801995	6625.69624	Q8WY22	BRI3BP	Q8WY22	30528.853289000002	8673.359916000001	7108.769371750001	7753.19358675	7025.58295025	7891.064643875001	7389.3882685	-0.09476502277871676	0.496763337516039	0.395092329476777
PG252158	sp|Q9BSW2-2|EFC4B_HUMAN Isoform 2 of EF-hand calcium-binding domain-containing protein 4B OS=Homo sapiens GN=CRACR2A	731	14.91	14.91	3.967	1	17	7	0	2	2	0	6.23e-107	2	2	7611.771484	7580.578281	6808.071242	8568.849748	8175.131877	7050.526902	Q9BSW2-2	CRACR2A	Q9BSW2-2	30527.852069	8447.801723	6860.11035925	7292.32696575	7951.05878075	7653.956041125	7621.69287325	-0.006094141305380529	0.997784892782269	0.542535744803262
PG251248	sp|Q9NWS6|F118A_HUMAN Protein FAM118A OS=Homo sapiens GN=FAM118A PE=1 SV=2	357	25.77	25.77	3.081	1	17	7	0	2	2	0	7.31e-109	2	2	6361.076639	7631.120004	7598.267785	7449.735578	6957.805655	6877.453551	Q9NWS6	FAM118A	Q9NWS6	30502.734644	8418.96965675	8374.79907725	6604.180389	7134.5202345	8396.884366999999	6869.35031175	-0.28968046197211417	0.0098951978830462	0.08052598726256
PG246099	sp|Q8WTS6|SETD7_HUMAN Histone-lysine N-methyltransferase SETD7 OS=Homo sapiens GN=SETD7 PE=1 SV=1	366	14.48	14.48	0.0	1	3	3	0	1	1	0	5.66e-41	1	1	8396.633762	5904.229359	7757.301294	8223.512015	6011.783684	8147.484973	Q8WTS6	SETD7	Q8WTS6	30418.636629	7332.8317235	8762.82589325	6803.2632975	7401.733291250001	8047.828808374999	7102.498294375	-0.1802730368219442	0.179087666215339	0.242273213134875
PG245057	sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3	1007	22.44	1.49	6.356	2	154	26	25	10	10	9	0.0	1	1	7394.578965	7900.765055	8925.920738	8703.899033	8741.076416	8278.489931	Q5T8P6|Q5T8P6-2	RBM26	Q5T8P6	30287.108718000003	7139.9115415	7860.26812075	7094.28958825	8147.2953045	7500.089831125	7620.7924463750005	0.023033148474892663	0.839337926340417	0.501528147005717
PG256753	sp|P40337|VHL_HUMAN Von Hippel-Lindau disease tumor suppressor OS=Homo sapiens GN=VHL PE=1 SV=2	213	15.96	15.96	0.0	2	7	3	0	1	1	0	3.12e-35	1	1	6472.736527	6688.378727	5853.463636	9956.083262	7006.102533	8721.551541	P40337|P40337-3	VHL	P40337	30272.30061	7580.283901	7970.7355145	6741.693461999999	7986.5918925	7775.5097077499995	7364.14267725	-0.07841967270254799	0.456935061669904	0.379756211770636
PG243710	sp|Q9HCE1-2|MOV10_HUMAN Isoform 2 of Putative helicase MOV-10 OS=Homo sapiens GN=MOV10	900	33.89	2.556	3.778	1	64	28	26	20	17	16	0.0	1	1	8733.212423	8669.108893	6733.338564	6011.985578	6891.409331	7980.841609	Q9HCE1-2	MOV10	Q9HCE1-2	30189.265659	6474.01436125	7580.283901	9165.5507095	7020.622844	7027.149131124999	8093.08677675	0.20375054864188272	0.2811152193328	0.29772877165715
PG254616	sp|Q9NUG6|PDRG1_HUMAN p53 and DNA damage-regulated protein 1 OS=Homo sapiens GN=PDRG1 PE=1 SV=2	133	15.04	15.04	0.0	1	7	2	0	1	1	0	1.1699999999999998e-23	1	1	6633.671714	6401.026322	6565.463491	6895.144235	7587.792658	7353.711745	Q9NUG6	PDRG1	Q9NUG6	30126.088129	6669.7012845	8316.750916	7134.5202345	7910.32097325	7493.22610025	7522.420603875	0.005609990632228022	0.927959597163729	0.52417312317497
PG243183	sp|O75164|KDM4A_HUMAN Lysine-specific demethylase 4A OS=Homo sapiens GN=KDM4A PE=1 SV=2	1064	6.015	6.015	0.0	1	15	5	0	1	1	0	5.540000000000001e-66	1	1	7581.773134	7226.510257	8521.919329	5939.625721	6729.127947	9161.637401	O75164	KDM4A	O75164	30119.725495	7204.9700015	7043.1883805	7020.622844	8808.5562025	7124.079191	7914.589523250001	0.15181097590024223	0.306039352924063	0.310909902358785
PG244300	sp|Q92597|NDRG1_HUMAN Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	394	17.26	17.26	3.553	1	14	5	0	1	1	0	4.84e-75	1	1	6551.66536	7469.276636	7177.168723	6956.956527	8268.83238	7331.310528	Q92597	NDRG1	Q92597	30036.361747	6544.77184225	8027.1977435	7499.2893727499995	7797.9630477499995	7285.9847928750005	7648.6262102499995	0.07007666091875585	0.534486202375809	0.408164211504424
PG245833	sp|O43295|SRGP3_HUMAN SLIT-ROBO Rho GTPase-activating protein 3 OS=Homo sapiens GN=SRGAP3 PE=1 SV=3	1099	4.641	4.641	0.0	2	11	4	0	1	1	0	7.44e-50	1	1	5230.727489	5871.502291	8003.829162	6141.080031	7005.734945	7466.237266	O43295|O43295-2	SRGAP3	O43295	30022.726063000002	6773.270895	6005.09812325	9446.566029	7875.999121500001	6389.184509125	8661.28257525	0.4389488742489552	0.0178313156611019	0.0992667875016141
PG255893	sp|O75446|SAP30_HUMAN Histone deacetylase complex subunit SAP30 OS=Homo sapiens GN=SAP30 PE=1 SV=1	220	35.45	35.45	0.0	1	8	5	0	1	1	0	2.2999999999999998e-60	1	1	7274.955777	7351.614158	7959.578052	5827.140076	7827.536661	7547.804991	O75446	SAP30	O75446	29979.561266999997	8054.27694625	6631.575592	8568.764873	6803.2632975	7342.9262691250005	7686.01408525	0.06588050642381345	0.704311736132074	0.464562947475743
PG247289	sp|Q9NPG3|UBN1_HUMAN Ubinuclein-1 OS=Homo sapiens GN=UBN1 PE=1 SV=2	1134	13.23	13.23	1.323	2	32	13	0	1	1	0	2.47e-152	1	1	9054.016362	8199.094897	11750.88921	7749.388636	11164.71805	10385.17264	Q9NPG3|Q9NPG3-2	UBN1	Q9NPG3	29973.396502	5771.39316225	5928.6380552499995	9704.5607415	8539.03422625	5850.01560875	9121.797483875	0.6408776667529071	0.0010393379164281	0.0250573636344063
PG256318	sp|Q02447-3|SP3_HUMAN Isoform 3 of Transcription factor Sp3 OS=Homo sapiens GN=SP3	496	17.14	13.91	0.0	1	8	5	2	1	1	0	5.13e-65	1	1	6226.019656	9745.18439	8371.051495	9098.676881	8624.135188	7057.670583	Q02447-3	SP3	Q02447-3	29923.105466	6923.526594749999	7753.19358675	9033.122648	6268.846746249999	7338.3600907499995	7650.984697125	0.060187738647560635	0.850166247326506	0.504331956358726
PG255971	sp|Q9NVA2-2|SEP11_HUMAN Isoform 2 of Septin-11 OS=Homo sapiens GN=SEPT11	439	35.54	8.884	9.112	4	50	18	14	7	5	4	1.37e-232	1	1	6030.476718	4329.654439	7427.883423	5431.686166	8074.452492	7256.082436	Q9NVA2|Q9NVA2-2|D6RGI3|D6RER5	SEPT11	Q9NVA2-2	29754.384103	7632.856783499999	6823.6089285	7875.999121500001	7470.54034575	7228.232856	7673.269733625	0.08619848687516825	0.338780224828663	0.328437177307696
PG252964	sp|P32189|GLPK_HUMAN Glycerol kinase OS=Homo sapiens GN=GK PE=1 SV=3	559	6.798	6.798	0.0	5	7	3	0	1	1	0	1.07e-38	1	1	7534.703152	7425.225546	7954.192185	6908.889131	7746.771996	7948.312044	Q14409|P32189|P32189-1|P32189-2|P32189-4	GK3P|GK	P32189	29737.425193	7003.17955975	7771.6186035	6831.079337499999	8156.156994	7387.399081625001	7493.61816575	0.0205959506634184	0.888694670407847	0.514606039220183
PG249629	sp|Q9BYV8|CEP41_HUMAN Centrosomal protein of 41 kDa OS=Homo sapiens GN=CEP41 PE=1 SV=1	373	32.17	32.17	5.63	1	23	9	0	2	2	0	1.0900000000000001e-124	2	2	7033.453005	7659.473367	6863.468278	7681.361382	8167.972026	9204.926096	Q9BYV8	CEP41	Q9BYV8	29702.157441	7470.54034575	6793.45003625	8174.32649	7332.8317235	7131.995191	7753.57910675	0.12055669216119953	0.244149749984533	0.27685595229945
PG252232	sp|Q9UK73|FEM1B_HUMAN Protein fem-1 homolog B OS=Homo sapiens GN=FEM1B PE=1 SV=1	627	11.16	11.16	0.0	1	9	6	0	1	1	0	5.99e-77	1	1	7483.188399	6141.95033	6770.509148	7505.112314	6904.726497	8447.862063	Q9UK73	FEM1B	Q9UK73	29586.990678000002	6995.75473025	7514.23129325	7262.850929	7771.6186035	7254.99301175	7517.23476625	0.0512278358415495	0.521036147837281	0.403766426225614
PG250349	sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens GN=CHD7 PE=1 SV=3	2997	6.473	4.605	0.4338	1	46	16	6	4	4	2	7.07e-216	2	2	5461.110505	7095.971628	9885.8391	8256.267982	9512.36189	8235.382512	Q9P2D1	CHD7	Q9P2D1	29545.004255	7662.847812	7852.07020725	8707.665401	5438.74462375	7757.459009624999	7073.205012375	-0.13322009106794747	0.497280761101885	0.395306741416126
PG243722	sp|Q5JPI9|MET10_HUMAN Protein-lysine N-methyltransferase METTL10 OS=Homo sapiens GN=METTL10 PE=1 SV=2	291	22.34	22.34	0.0	1	12	4	0	2	2	0	7.69e-58	2	2	5917.799703	6473.799208	6466.894587	6376.535513	6574.634277	6325.636254	Q5JPI9	METTL10	Q5JPI9	29516.547294	8096.54557725	7031.2354245	6451.978425249999	7962.008524	7563.890500875	7206.993474625	-0.06973093907776141	0.607865623063418	0.435259921352935
PG251029	sp|O15121|DEGS1_HUMAN Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens GN=DEGS1 PE=1 SV=1	323	15.79	15.79	4.644	1	5	4	0	2	2	0	1.3e-59	2	2	6181.470476	6706.73881	7647.611047	8077.237997	7430.046894	8382.768321	O15121	DEGS1	O15121	29495.772895000002	7123.412747750001	6983.4902805	7365.950245	7981.284697499999	7053.451514125	7673.61747125	0.12157745436930646	0.148500547470543	0.223397940072363
PG253136	sp|Q8IYU2|HACE1_HUMAN E3 ubiquitin-protein ligase HACE1 OS=Homo sapiens GN=HACE1 PE=1 SV=2	909	1.43	1.43	0.0	5	2	1	0	1	1	0	1.17e-17	1	1	6779.838655	6541.751275	8324.747315	7513.594648	7362.742884	7176.492858	Q8IYU2|Q8IYU2-2|Q8IYU2-3|H0YAU8|H0YBH3	HACE1	Q8IYU2	29445.876102	7809.11331375	6422.07273575	7480.65429675	7662.847812	7115.59302475	7571.7510543749995	0.08964298034667799	0.427020653575686	0.367539490570302
PG248241	tr|A2A2G4|A2A2G4_HUMAN Alpha-1;3-glucosyltransferase OS=Homo sapiens GN=ALG6 PE=1 SV=1	509	3.929	3.929	0.0	2	3	2	0	1	1	0	6.37e-24	1	1	6215.932084	6095.41259	6986.162857	8621.464965	8791.886172	7904.957579	Q9Y672|A2A2G4	ALG6	A2A2G4	29382.133021	7108.769371750001	7251.3289065	7852.07020725	7214.40818975	7180.049139125	7533.2391984999995	0.06927662144270842	0.382595644647248	0.347397170600275
PG245828	sp|O15020|SPTN2_HUMAN Spectrin beta chain; non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3	2390	9.038	4.519	0.6695	1	55	22	12	13	10	8	2.3999999999999997e-263	2	2	7642.427022	7263.263326	8432.317862	7168.472742	7674.859595	8131.626694	O15020	SPTBN2	O15020	29315.009248000002	7875.999121500001	6931.42407725	8430.399885750001	6189.1162585	7403.711599375	7309.758072125001	-0.018425039534179736	0.856750496805776	0.506421199844861
PG243544	sp|Q9H400|LIME1_HUMAN Lck-interacting transmembrane adapter 1 OS=Homo sapiens GN=LIME1 PE=1 SV=1	295	30.51	27.46	0.0	1	15	7	1	1	1	0	1.03e-88	1	1	6486.669773	8528.603455	7282.508765	8016.282611	7912.621938	7190.439054	Q9H400	LIME1	Q9H400	29292.123177	7753.19358675	7470.54034575	7771.6186035	6393.295443999999	7611.86696625	7082.457023749999	-0.10400040525624432	0.370395214198813	0.341513898858709
PG250680	sp|Q9BSU1|CP070_HUMAN UPF0183 protein C16orf70 OS=Homo sapiens GN=C16orf70 PE=1 SV=1	422	7.109	7.109	0.0	1	4	2	0	1	1	0	2.1500000000000003e-21	1	1	7029.967831	8043.007887	5427.527272	6395.565269	7591.402238	8152.491949	Q9BSU1	C16orf70	Q9BSU1	29256.896437	7262.850929	8473.5608835	6414.2246780000005	7139.9115415	7868.20590625	6777.06810975	-0.215373441922112	0.108707165509943	0.195876071444361
PG250442	tr|E7EWW0|E7EWW0_HUMAN UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=1 SV=2	1052	4.658	3.422	0.0	3	3	3	1	1	1	0	3.57e-36	1	1	6201.70946	7170.548906	6876.787944	7163.233301	7812.820954	7869.609304	Q7Z3J2|E7EWW0|F5H7K1	C16orf62	E7EWW0	29249.967947	7559.637453	7332.8317235	7555.726483750001	6831.079337499999	7446.23458825	7193.402910625	-0.04983665462478474	0.531074845433602	0.406971140781705
PG254022	sp|O75648|MTU1_HUMAN Mitochondrial tRNA-specific 2-thiouridylase 1 OS=Homo sapiens GN=TRMU PE=1 SV=2	421	15.2	15.2	0.0	2	9	6	0	2	2	0	3.7200000000000003e-66	2	2	7034.495961	7710.991296	6645.890798	7660.823767	6955.365924	8334.878803	O75648|O75648-2	TRMU	O75648	29204.855144	7420.2134945	6646.17029975	7337.95682575	7753.19358675	7033.191897125	7545.57520625	0.10145130187951504	0.269851002999977	0.29191195070807
PG246102	sp|Q96EQ0|SGTB_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein beta OS=Homo sapiens GN=SGTB PE=1 SV=1	304	10.2	10.2	0.0	1	12	3	0	1	1	0	6.029999999999999e-42	1	1	7017.528703	7904.58452	7021.860073	5761.644147	7876.736964	7936.792945	Q96EQ0	SGTB	Q96EQ0	29160.719825	8245.91359825	7726.7639555000005	6785.2948325	6422.07273575	7986.338776875	6603.683784125	-0.2742632329536121	0.0137857623001063	0.0901449441568785
PG248900	sp|Q5SQI0|ATAT_HUMAN Alpha-tubulin N-acetyltransferase 1 OS=Homo sapiens GN=ATAT1 PE=1 SV=1	421	26.84	26.84	2.375	3	33	9	0	2	2	0	4.72e-115	2	2	7671.736079	7560.551879	10128.76449	8901.033953	8509.412654	8855.381419	Q5SQI0|Q5SQI0-4|Q5SQI0-5	ATAT1	Q5SQI0	29145.237897	7143.0467105	6074.69115425	8122.66645425	7940.36581925	6608.868932375	8031.51613675	0.28126897152629016	0.0365238600941304	0.130005889093155
PG246924	sp|Q96Q45-3|TM237_HUMAN Isoform 3 of Transmembrane protein 237 OS=Homo sapiens GN=TMEM237	432	10.88	10.88	0.0	4	13	3	0	1	1	0	1.34e-41	1	1	7119.464956	7981.072352	8332.611503	9696.941069	10857.9024	8902.892393	Q96Q45|Q96Q45-2|Q96Q45-3|Q96Q45-5	TMEM237	Q96Q45-3	29101.389861	7820.056995999999	7875.999121500001	6879.82080875	6527.45862225	7848.02805875	6703.6397154999995	-0.22738558553901783	0.0174384271824598	0.0992667875016141
PG254305	sp|P53384|NUBP1_HUMAN Cytosolic Fe-S cluster assembly factor NUBP1 OS=Homo sapiens GN=NUBP1 PE=1 SV=2	320	23.75	23.75	0.0	2	9	4	0	2	2	0	1.88e-51	2	2	12425.46573	9597.944893	13491.70367	6720.760175	12686.10479	8216.499152	P53384|P53384-2	NUBP1	P53384	29077.243864	5702.87548575	6518.252786	8539.03422625	8325.615874750001	6110.564135875	8432.3250505	0.46462490343880025	0.0040690031467007	0.0550314060727841
PG258723	tr|A0A0A0MR07|A0A0A0MR07_HUMAN Proto-oncogene vav OS=Homo sapiens GN=VAV1 PE=1 SV=1	823	39.13	4.374	6.926	1	65	31	29	15	14	13	0.0	1	1	7477.902449	6644.068779	6862.919087	6325.189287	7681.005144	6438.053426	A0A0A0MR07	VAV1	A0A0A0MR07	29034.302556999995	9072.4815815	7619.392957	6214.8761365	6386.71674575	8345.93726925	6300.796441125	-0.40553987540613856	0.0138796543711908	0.0903100947468708
PG247547	sp|Q9UHD9|UBQL2_HUMAN Ubiquilin-2 OS=Homo sapiens GN=UBQLN2 PE=1 SV=2	624	18.11	7.051	0.0	1	23	8	5	5	5	4	7.91e-113	1	1	7211.991194	5634.380357	5832.402261	5774.771168	6504.357416	7664.340308	Q9UHD9	UBQLN2	Q9UHD9	28981.742835	8273.60700775	8399.79206075	6363.55547125	5950.55426275	8336.699534250001	6157.054867	-0.43723591473312967	0.0017155720312272	0.0330102180808423
PG242347	sp|Q12894-2|IFRD2_HUMAN Isoform 2 of Interferon-related developmental regulator 2 OS=Homo sapiens GN=IFRD2	608	5.757	5.757	0.0	1	5	3	0	1	1	0	5.39e-28	1	1	5737.0862	7735.883273	7110.77893	6609.482418	7676.854409	6639.765239	Q12894-2	IFRD2	Q12894-2	28896.977028	7951.05878075	7647.67673175	7434.560310000001	5883.3685545	7799.36775625	6658.964432250001	-0.22805934460025132	0.128056488409196	0.21019729896203
PG243217	sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase; mitochondrial OS=Homo sapiens GN=L2HGDH PE=1 SV=3	463	17.93	17.93	0.0	1	9	6	0	1	1	0	3.9500000000000003e-79	1	1	7735.385762	6556.554011	9324.401539	6371.716307	7402.200573	7969.321975	Q9H9P8	L2HGDH	Q9H9P8	28891.699998000004	6287.635382	6121.2781695	7797.9630477499995	8659.84577775	6204.456775750001	8228.90441275	0.4073954622674284	0.0044832206675983	0.0591898535814151
PG253029	sp|Q9NXN4|GDAP2_HUMAN Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens GN=GDAP2 PE=1 SV=1	497	5.634	5.634	0.0	2	4	2	0	1	1	0	8.54e-34	1	1	6637.486101	6873.573639	7327.290475	7658.420713	8244.947969	6830.650195	Q9NXN4|Q9NXN4-2	GDAP2	Q9NXN4	28887.830886	7886.338901	6446.08204175	7694.728775	6849.44382675	7166.2104713749995	7272.086300875	0.02115890461752166	0.844847656753317	0.503006373909376
PG254934	sp|P08567|PLEK_HUMAN Pleckstrin OS=Homo sapiens GN=PLEK PE=1 SV=3	350	4.0	4.0	0.0	1	2	1	0	1	1	0	1.66e-17	1	1	5279.078218	14622.62277	7697.154192	9711.569629	8233.530147	10465.29008	P08567	PLEK	P08567	28853.299789	6205.14535425	4684.14784125	6231.199756	11518.870335	5444.64659775	8875.0350455	0.7049144071589875	0.112049350641892	0.197610515972566
PG242432	sp|Q659A1|ICE2_HUMAN Little elongation complex subunit 2 OS=Homo sapiens GN=ICE2 PE=1 SV=2	982	6.619	6.619	0.0	1	9	4	0	1	1	0	1.2400000000000001e-57	1	1	6389.619125	6394.443827	5900.960609	6991.254761	7315.706642	7182.472166	Q659A1	ICE2	Q659A1	28848.653204999995	5974.40233475	6965.850657	8513.0614805	7420.2134945	6470.126495875	7966.6374875	0.3001770099910048	0.0515406829581719	0.144322332825628
PG256638	sp|O60294|TYW4_HUMAN tRNA wybutosine-synthesizing protein 4 OS=Homo sapiens GN=LCMT2 PE=1 SV=3	686	13.99	13.99	0.0	1	15	7	0	2	2	0	3.2300000000000003e-100	2	2	5558.784755	7197.592594	6680.977039	8758.070475	7606.135081	8934.729231	O60294	LCMT2	O60294	28739.100668	5950.55426275	8035.7253745	8012.35136275	6640.5231485	6993.139818625	7326.437255625	0.0671714561187174	0.688129197036237	0.459444581014579
PG253522	tr|A0A1B0GU45|A0A1B0GU45_HUMAN Lymphoid-restricted membrane protein OS=Homo sapiens GN=LRMP PE=1 SV=1	1454	7.909	7.909	2.476	3	26	10	0	1	1	0	1.33e-136	1	1	7044.049071	7696.833877	7501.140693	7444.475221	7395.981624	7239.147595	Q12912|Q12912-2|A0A1B0GU45	LRMP	A0A1B0GU45	28729.200172	7593.20361375	7820.056995999999	7686.30244525	5679.0356357499995	7706.630304875	6682.6690405	-0.20567575861190235	0.223012684554604	0.265141350617096
PG249350	sp|O14569|C56D2_HUMAN Cytochrome b561 domain-containing protein 2 OS=Homo sapiens GN=CYB561D2 PE=1 SV=1	222	8.108	8.108	0.0	1	2	2	0	1	1	0	3.47e-27	1	1	5579.468458	8736.927759	8373.609455	9326.247579	8960.725183	6600.190889	O14569	CYB561D2	O14569	28664.37827	6451.978425249999	6214.8761365	8530.3537505	7519.50736075	6333.427280874999	8024.930555625	0.3415024945669737	0.0129702290246065	0.0874948050072199
PG254381	sp|O43422|P52K_HUMAN 52 kDa repressor of the inhibitor of the protein kinase OS=Homo sapiens GN=THAP12 PE=1 SV=2	761	14.85	14.06	1.051	1	13	8	1	1	1	0	5.13e-112	1	1	6839.367182	8467.718282	6635.448726	7234.150627	6122.577136	6661.876331	O43422	THAP12	O43422	28641.021702	7655.260975249999	8644.4973895	5836.44543425	6518.252786	8149.879182375	6177.349110125	-0.3997908060544676	0.0116786497614538	0.0841023922911278
PG245081	sp|Q06609-4|RAD51_HUMAN Isoform 4 of DNA repair protein RAD51 homolog 1 OS=Homo sapiens GN=RAD51	340	24.41	24.41	0.0	3	12	6	0	1	1	0	7.95e-80	1	1	7337.02597	4855.598965	6685.710697	7913.669569	7525.653097	6962.64625	Q06609|Q06609-3|Q06609-4	RAD51	Q06609-4	28613.275263000003	7835.206133	7895.905348	5784.019231	7031.2354245	7865.5557405	6407.62732775	-0.29575846080050117	0.0450517621904335	0.137213597894207
PG249964	sp|Q9BWT1-2|CDCA7_HUMAN Isoform 2 of Cell division cycle-associated protein 7 OS=Homo sapiens GN=CDCA7	450	8.667	8.667	0.0	4	5	3	0	1	1	0	2.1e-46	1	1	7170.10311	7734.451707	8027.559364	7562.765917	9566.788061	8775.694839	Q9BWT1|Q9BWT1-2|Q9BWT1-5|Q9BWT1-6	CDCA7	Q9BWT1-2	28524.791202	7181.4581582499995	7671.295211250001	8644.4973895	5175.70206175	7426.37668475	6910.099725625	-0.10395196267390364	0.585214956602088	0.425878436689676
PG250805	sp|Q8N9M1|CS047_HUMAN Uncharacterized protein C19orf47 OS=Homo sapiens GN=C19orf47 PE=1 SV=1	422	22.51	22.51	9.005	2	34	9	0	1	1	0	7.82e-126	1	1	7349.939741	8533.679048	9278.714223	8664.516363	8990.884778	8086.603822	Q8N9M1|Q8N9M1-2	C19orf47	Q8N9M1	28469.899384	5817.446131250001	6344.71739475	9257.9194025	7061.05743775	6081.081763	8159.488420125	0.42415071422939105	0.0437972078379574	0.136115349055596
PG255300	sp|Q6ZSY5|PPR3F_HUMAN Protein phosphatase 1 regulatory subunit 3F OS=Homo sapiens GN=PPP1R3F PE=1 SV=3	799	4.756	4.756	0.0	1	7	3	0	1	1	0	6.5e-44	1	1	5925.846506	7123.715089	5719.537084	7217.14269	6604.609606	7440.967992	Q6ZSY5	PPP1R3F	Q6ZSY5	28465.775908999996	7686.30244525	7458.058262500001	6508.506052	6868.10231075	7572.180353875001	6688.304181375	-0.17906831140188295	0.0423984049645597	0.135128017122799
PG249389	sp|Q9NW68-3|BSDC1_HUMAN Isoform 3 of BSD domain-containing protein 1 OS=Homo sapiens GN=BSDC1	474	8.228	8.228	1.688	6	9	4	0	1	1	0	5.5e-55	1	1	7279.091753	5276.271186	7347.605179	8738.224256	7110.270225	8108.437065	Q9NW68|Q9NW68-2|Q9NW68-3|Q9NW68-7|Q9NW68-8|Q9NW68-9	BSDC1	Q9NW68-3	28456.213766	7237.5710905	6849.44382675	7067.940849	7279.97710975	7043.507458624999	7173.958979375	0.02647546869732637	0.69414312544366	0.461561829164335
