Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,Exp1 5 min log2 fold change,Exp1 5 min q-value,Exp1 60 min log2 fold change,Exp1 60 min q-value,Exp2 5 min log2 fold change,Exp2 5 min q-value,Exp2 60 min log2 fold change,Exp2 60 min q-value,Significant
PG245028,P29762,sp|P29762|RABP1_HUMAN Cellular retinoic acid-binding protein 1 OS=Homo sapiens GN=CRABP1 PE=1 SV=2,P29762,,,,,,,1.4841742742708048,0.0095775099234706,True
PG243706,Q86VX9|X6R3V9|A0A0A0MSQ9,tr|X6R3V9|X6R3V9_HUMAN MON1 homolog A (Yeast); isoform CRA_b OS=Homo sapiens GN=MON1A PE=1 SV=1,X6R3V9,,,,,,,0.06158443334534557,0.673838260369579,False
PG258196,C9IZ08,tr|C9IZ08|C9IZ08_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 (Fragment) OS=Homo sapiens GN=GAPVD1 PE=1 SV=1,C9IZ08,,,,,,,1.0923174173845713,0.0281097876149691,True
PG249172,Q4VC05-2,sp|Q4VC05-2|BCL7A_HUMAN Isoform 2 of B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens GN=BCL7A,Q4VC05-2,,,,,,,0.004392672199360357,0.674251861609278,False
PG249229,P51587,sp|P51587|BRCA2_HUMAN Breast cancer type 2 susceptibility protein OS=Homo sapiens GN=BRCA2 PE=1 SV=3,P51587,,,,,,,-0.1300823551445304,0.469711943605556,False
PG250604,Q8WUR7,sp|Q8WUR7|CO040_HUMAN UPF0235 protein C15orf40 OS=Homo sapiens GN=C15orf40 PE=1 SV=2,Q8WUR7,,,,,,,-0.06574034101450318,0.447059940222324,False
PG254974,Q8IV08,sp|Q8IV08|PLD3_HUMAN Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1,Q8IV08,,,,,,,-0.24773394480289207,0.209495121380671,False
PG255545,O43567,sp|O43567|RNF13_HUMAN E3 ubiquitin-protein ligase RNF13 OS=Homo sapiens GN=RNF13 PE=1 SV=1,O43567,,,,,,,0.005589751993561669,0.666574602846219,False
PG247600,Q9BRU9,sp|Q9BRU9|UTP23_HUMAN rRNA-processing protein UTP23 homolog OS=Homo sapiens GN=UTP23 PE=1 SV=2,Q9BRU9,,,,,,,0.02513680346121727,0.607903484348597,False
PG242127,Q9BSE4,sp|Q9BSE4|HERP2_HUMAN Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein OS=Homo sapiens GN=HERPUD2 PE=1 SV=2,Q9BSE4,,,,,,,-0.0732563527345229,0.554327721170108,False
PG253852,Q9NQG6|B0QY95,tr|B0QY95|B0QY95_HUMAN Mitochondrial dynamics protein MID51 OS=Homo sapiens GN=MIEF1 PE=1 SV=1,B0QY95,,,,,,,-0.024514007623770886,0.631249641646254,False
PG252049,Q9BZQ6|Q9BZQ6-2,sp|Q9BZQ6|EDEM3_HUMAN ER degradation-enhancing alpha-mannosidase-like protein 3 OS=Homo sapiens GN=EDEM3 PE=1 SV=2,Q9BZQ6,,,,,,,-0.18704742787836215,0.225459696465472,False
PG250679,Q5RI15|Q5RI15-2,sp|Q5RI15-2|COX20_HUMAN Isoform 2 of Cytochrome c oxidase protein 20 homolog OS=Homo sapiens GN=COX20,Q5RI15-2,,,,,,,-0.20872224723080754,0.32146750376207,False
PG247204,Q8WV44,sp|Q8WV44|TRI41_HUMAN E3 ubiquitin-protein ligase TRIM41 OS=Homo sapiens GN=TRIM41 PE=1 SV=3,Q8WV44,,,,,,,0.034487673788824565,0.618493043614688,False
PG250188,Q96LT7,sp|Q96LT7|CI072_HUMAN Protein C9orf72 OS=Homo sapiens GN=C9orf72 PE=1 SV=2,Q96LT7,,,,,,,-0.19447511147087346,0.294264589852462,False
PG243972,O94832|K7EIG7|J3QRN6,sp|O94832|MYO1D_HUMAN Unconventional myosin-Id OS=Homo sapiens GN=MYO1D PE=1 SV=2,O94832,,,,,,,-0.13224348555324436,0.509021342353784,False
PG255299,Q9H7J1,sp|Q9H7J1|PPR3E_HUMAN Protein phosphatase 1 regulatory subunit 3E OS=Homo sapiens GN=PPP1R3E PE=1 SV=2,Q9H7J1,,,,,,,-0.10284395618435911,0.506996959113551,False
PG256838,Q9C0B5|Q9C0B5-2,sp|Q9C0B5|ZDHC5_HUMAN Palmitoyltransferase ZDHHC5 OS=Homo sapiens GN=ZDHHC5 PE=1 SV=2,Q9C0B5,,,,,,,-0.20012358662311872,0.298769269148137,False
PG260313,A0A1B0GW05,tr|A0A1B0GW05|A0A1B0GW05_HUMAN Probable C-mannosyltransferase DPY19L1 OS=Homo sapiens GN=DPY19L1 PE=1 SV=1,A0A1B0GW05,,,,,,,-0.06424691098120745,0.608089929659798,False
PG249056,P04424|P04424-2|P04424-3,sp|P04424|ARLY_HUMAN Argininosuccinate lyase OS=Homo sapiens GN=ASL PE=1 SV=4,P04424,,,,,,,0.021082290063779523,0.617528200401445,False
PG254569,Q9BZF2,sp|Q9BZF2|OSBL7_HUMAN Oxysterol-binding protein-related protein 7 OS=Homo sapiens GN=OSBPL7 PE=1 SV=1,Q9BZF2,,,,,,,0.009418062807144292,0.659773538106008,False
PG252452,Q13643,sp|Q13643|FHL3_HUMAN Four and a half LIM domains protein 3 OS=Homo sapiens GN=FHL3 PE=1 SV=4,Q13643,,,,,,,0.007072346568622031,0.677865127064168,False
PG248896,Q13733,sp|Q13733|AT1A4_HUMAN Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens GN=ATP1A4 PE=1 SV=3,Q13733,,,,,,,-0.1664794798497256,0.236541947528812,False
PG258969,C9J7T7,tr|C9J7T7|C9J7T7_HUMAN Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=3,C9J7T7,,,,,,,0.003917270782250533,0.677865127064168,False
PG249167,Q9H6U6|Q9H6U6-2,sp|Q9H6U6|BCAS3_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens GN=BCAS3 PE=1 SV=3,Q9H6U6,,,,,,,-0.10300225304013176,0.434284206504079,False
PG246125,Q96A49,sp|Q96A49|SYAP1_HUMAN Synapse-associated protein 1 OS=Homo sapiens GN=SYAP1 PE=1 SV=1,Q96A49,,,,,,,0.06006663332184095,0.659629058441883,False
PG245625,Q86X10-3,sp|Q86X10-3|RLGPB_HUMAN Isoform 3 of Ral GTPase-activating protein subunit beta OS=Homo sapiens GN=RALGAPB,Q86X10-3,,,,,,,-0.09557418703762718,0.440247478206758,False
PG254010,Q8NHP6|Q8NHP6-2|R4GMN1,sp|Q8NHP6|MSPD2_HUMAN Motile sperm domain-containing protein 2 OS=Homo sapiens GN=MOSPD2 PE=1 SV=1,Q8NHP6,,,,,,,-0.06591925938621544,0.448029035052134,False
PG249420,Q16611|Q16611-2,sp|Q16611|BAK_HUMAN Bcl-2 homologous antagonist/killer OS=Homo sapiens GN=BAK1 PE=1 SV=1,Q16611,,,,,,,0.09941644573007327,0.357910437292194,False
PG251912,Q6P1R4,sp|Q6P1R4|DUS1L_HUMAN tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens GN=DUS1L PE=1 SV=1,Q6P1R4,,,,,,,-0.23269103691626275,0.269924811934003,False
PG251044,P81605,sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,P81605,,,,,,,-0.22844940604764216,0.393068571244538,False
PG253823,Q9BRQ6|J3QTA6,tr|J3QTA6|J3QTA6_HUMAN MICOS complex subunit OS=Homo sapiens GN=CHCHD6 PE=1 SV=1,J3QTA6,,,,,,,0.040602470816709,0.561092060407537,False
PG242804,Q86T24,sp|Q86T24|KAISO_HUMAN Transcriptional regulator Kaiso OS=Homo sapiens GN=ZBTB33 PE=1 SV=2,Q86T24,,,,,,,0.36966446851321144,0.130443928533364,False
PG245667,Q9BUL9,sp|Q9BUL9|RPP25_HUMAN Ribonuclease P protein subunit p25 OS=Homo sapiens GN=RPP25 PE=1 SV=1,Q9BUL9,,,,,,,-0.06459485138130694,0.529771128862383,False
PG245813,Q6IEG0,sp|Q6IEG0|SNR48_HUMAN U11/U12 small nuclear ribonucleoprotein 48 kDa protein OS=Homo sapiens GN=SNRNP48 PE=1 SV=2,Q6IEG0,,,,,,,0.17081448223668158,0.435147695904753,False
PG244757,Q2KHR3|Q2KHR3-2,sp|Q2KHR3|QSER1_HUMAN Glutamine and serine-rich protein 1 OS=Homo sapiens GN=QSER1 PE=1 SV=3,Q2KHR3,,,,,,,-0.1519706686208845,0.268139466555611,False
PG249279,O75061|O75061-2|O75061-4,sp|O75061-2|AUXI_HUMAN Isoform 2 of Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens GN=DNAJC6,O75061-2,,,,,,,0.17250521267698288,0.243849911096833,False
PG247704,Q96S15|Q96S15-2,sp|Q96S15|WDR24_HUMAN WD repeat-containing protein 24 OS=Homo sapiens GN=WDR24 PE=1 SV=1,Q96S15,,,,,,,0.9366411603335831,0.0058375363360323,True
PG245000,P60763,sp|P60763|RAC3_HUMAN Ras-related C3 botulinum toxin substrate 3 OS=Homo sapiens GN=RAC3 PE=1 SV=1,P60763,,,,,,,0.013141952384913788,0.650702592293627,False
PG254718,Q8N2W9,sp|Q8N2W9|PIAS4_HUMAN E3 SUMO-protein ligase PIAS4 OS=Homo sapiens GN=PIAS4 PE=1 SV=1,Q8N2W9,,,,,,,-0.07961818539880046,0.405989298162806,False
PG254202,O60906,sp|O60906|NSMA_HUMAN Sphingomyelin phosphodiesterase 2 OS=Homo sapiens GN=SMPD2 PE=1 SV=2,O60906,,,,,,,0.32246133708238733,0.171330673749558,False
PG256728,Q9P2Y5,sp|Q9P2Y5|UVRAG_HUMAN UV radiation resistance-associated gene protein OS=Homo sapiens GN=UVRAG PE=1 SV=1,Q9P2Y5,,,,,,,0.12048479328459429,0.527195185700311,False
PG249980,Q92674|Q92674-2,sp|Q92674|CENPI_HUMAN Centromere protein I OS=Homo sapiens GN=CENPI PE=1 SV=2,Q92674,,,,,,,-0.25693535322022704,0.19096781183187,False
PG247317,Q9NVE5|Q9NVE5-3,sp|Q9NVE5-3|UBP40_HUMAN Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 40 OS=Homo sapiens GN=USP40,Q9NVE5-3,,,,,,,0.04766115706983078,0.622303368725113,False
PG243239,Q6GTX8|Q6GTX8-2|Q6GTX8-3|A0A0G2JP18|A0A0G2JMI0|A8MZ84|A0A140T8W3|A0A0G2JLV7|D3YTC8|A0A0G2JNU6|A0A0G2JNK8|A0A0G2JQ50,tr|A0A0G2JLV7|A0A0G2JLV7_HUMAN Leukocyte-associated immunoglobulin-like receptor 1 OS=Homo sapiens GN=LAIR1 PE=1 SV=1,A0A0G2JLV7,,,,,,,-0.301575315559009,0.128262999596602,False
PG246811,Q9Y242|A0A0G2JIJ7|D2IYK5,tr|D2IYK5|D2IYK5_HUMAN Transcription factor 19 OS=Homo sapiens GN=TCF19 PE=1 SV=1,D2IYK5,,,,,,,-0.16213354440578354,0.343258781056462,False
PG246239,Q96GW9,sp|Q96GW9|SYMM_HUMAN Methionine--tRNA ligase; mitochondrial OS=Homo sapiens GN=MARS2 PE=1 SV=2,Q96GW9,,,,,,,-0.15834393390349488,0.38928917018035,False
PG247261,Q8NG11|Q8NG11-2,sp|Q8NG11|TSN14_HUMAN Tetraspanin-14 OS=Homo sapiens GN=TSPAN14 PE=1 SV=1,Q8NG11,,,,,,,0.3110061128700782,0.225459696465472,False
PG249663,P48960|P48960-2|P48960-3,sp|P48960|CD97_HUMAN CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,P48960,,,,,,,0.19776250731804076,0.195618997749551,False
PG256717,Q14119|J3QSH4,sp|Q14119|VEZF1_HUMAN Vascular endothelial zinc finger 1 OS=Homo sapiens GN=VEZF1 PE=1 SV=2,Q14119,,,,,,,-0.38947465633408135,0.0892077409894423,False
PG253633,Q8NI22|Q8NI22-2|Q8NI22-3,sp|Q8NI22|MCFD2_HUMAN Multiple coagulation factor deficiency protein 2 OS=Homo sapiens GN=MCFD2 PE=1 SV=1,Q8NI22,,,,,,,-0.5911441911651788,0.0796767435874093,True
PG248491,Q9UL18,sp|Q9UL18|AGO1_HUMAN Protein argonaute-1 OS=Homo sapiens GN=AGO1 PE=1 SV=3,Q9UL18,,,,,,,-0.20422570913369792,0.353963977178551,False
PG249399,P54284|P54284-2|P54284-3|P54284-4|P54284-5|F8VNV8,sp|P54284|CACB3_HUMAN Voltage-dependent L-type calcium channel subunit beta-3 OS=Homo sapiens GN=CACNB3 PE=1 SV=1,P54284,,,,,,,-0.19048458843911395,0.327257523254937,False
PG255864,Q8TBP6,sp|Q8TBP6|S2540_HUMAN Solute carrier family 25 member 40 OS=Homo sapiens GN=SLC25A40 PE=1 SV=1,Q8TBP6,,,,,,,-0.03389179075228488,0.582969151475214,False
PG246131,O43426|J3KQV8|A0A0D9SGJ6,tr|J3KQV8|J3KQV8_HUMAN Synaptojanin-1 OS=Homo sapiens GN=SYNJ1 PE=1 SV=1,J3KQV8,,,,,,,-0.07493600013213908,0.427446085299461,False
PG249365,Q86WA6|Q86WA6-2,sp|Q86WA6|BPHL_HUMAN Valacyclovir hydrolase OS=Homo sapiens GN=BPHL PE=1 SV=1,Q86WA6,,,,,,,0.10130366766574127,0.344499544059096,False
PG257016,Q7Z7L7,sp|Q7Z7L7|ZER1_HUMAN Protein zer-1 homolog OS=Homo sapiens GN=ZER1 PE=1 SV=1,Q7Z7L7,,,,,,,0.3631503556675315,0.156681977976516,False
PG249997,Q9UKL3|A0A087WTW5,sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=1 SV=1,Q9UKL3,,,,,,,-0.11826575172988796,0.529880217673635,False
PG244305,Q96PY6|Q96PY6-2|Q96PY6-3|Q96PY6-4|Q96PY6-6,sp|Q96PY6-3|NEK1_HUMAN Isoform 3 of Serine/threonine-protein kinase Nek1 OS=Homo sapiens GN=NEK1,Q96PY6-3,,,,,,,-0.2976618183611601,0.131993289212459,False
PG249680,Q9C0F1|Q9C0F1-2,sp|Q9C0F1-2|CEP44_HUMAN Isoform 2 of Centrosomal protein of 44 kDa OS=Homo sapiens GN=CEP44,Q9C0F1-2,,,,,,,0.05274163917132165,0.537795423063872,False
PG250258,Q5SW79,sp|Q5SW79|CE170_HUMAN Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1,Q5SW79,,,,,,,-0.01122015996595368,0.669097074625793,False
PG245011,Q8TDY2|Q8TDY2-2,sp|Q8TDY2|RBCC1_HUMAN RB1-inducible coiled-coil protein 1 OS=Homo sapiens GN=RB1CC1 PE=1 SV=3,Q8TDY2,,,,,,,0.02999285089729494,0.593053670030975,False
PG251206,Q5VWN6,sp|Q5VWN6|F208B_HUMAN Protein FAM208B OS=Homo sapiens GN=FAM208B PE=1 SV=1,Q5VWN6,,,,,,,0.027198490650598973,0.637411411679921,False
PG253161,Q96A08,sp|Q96A08|H2B1A_HUMAN Histone H2B type 1-A OS=Homo sapiens GN=HIST1H2BA PE=1 SV=3,Q96A08,,,,,,,0.083866975691798,0.637099834971341,False
PG245198,O00194,sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens GN=RAB27B PE=1 SV=4,O00194,,,,,,,0.11041249504422257,0.408829916452889,False
PG249982,Q96BT3,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens GN=CENPT PE=1 SV=2,Q96BT3,,,,,,,0.3218535391442116,0.109787502345234,False
PG247963,Q9P2A4|Q9P2A4-2,sp|Q9P2A4|ABI3_HUMAN ABI gene family member 3 OS=Homo sapiens GN=ABI3 PE=1 SV=2,Q9P2A4,,,,,,,-0.02522489386184351,0.627954716238183,False
PG253608,P50579,sp|P50579|MAP2_HUMAN Methionine aminopeptidase 2 OS=Homo sapiens GN=METAP2 PE=1 SV=1,P50579,,,,,,,0.04854612275887982,0.59650106756645,False
PG248667,Q8N2F6-2|Q8N2F6-4,sp|Q8N2F6-2|ARM10_HUMAN Isoform 2 of Armadillo repeat-containing protein 10 OS=Homo sapiens GN=ARMC10,Q8N2F6-2,,,,,,,-0.017884773545805595,0.637411411679921,False
PG247442,Q8N5M4|E9PKV8,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens GN=TTC9C PE=1 SV=1,Q8N5M4,,,,,,,0.01583123054941134,0.642392818063564,False
PG253578,Q9Y4F3|Q9Y4F3-3|Q9Y4F3-4|Q9Y4F3-5,sp|Q9Y4F3-5|MARF1_HUMAN Isoform 4 of Meiosis arrest female protein 1 OS=Homo sapiens GN=KIAA0430,Q9Y4F3-5,,,,,,,-0.1941655842030288,0.178870253939921,False
PG257054,Q96IQ9,sp|Q96IQ9|ZN414_HUMAN Zinc finger protein 414 OS=Homo sapiens GN=ZNF414 PE=1 SV=2,Q96IQ9,,,,,,,0.29422014798243235,0.099558784954322,False
PG249621,Q8N0S6|Q8N0S6-2|Q8N0S6-3,sp|Q8N0S6-2|CENPL_HUMAN Isoform 2 of Centromere protein L OS=Homo sapiens GN=CENPL,Q8N0S6-2,,,,,,,-0.17137464542589254,0.23834936641027,False
PG244269,P30414,sp|P30414|NKTR_HUMAN NK-tumor recognition protein OS=Homo sapiens GN=NKTR PE=1 SV=2,P30414,,,,,,,0.02313165781507045,0.64264818928432,False
PG246228,O43463|O43463-2,sp|O43463-2|SUV91_HUMAN Isoform 2 of Histone-lysine N-methyltransferase SUV39H1 OS=Homo sapiens GN=SUV39H1,O43463-2,,,,,,,0.0036748340675266016,0.672162500802154,False
PG252974,Q5VW38|Q5VW38-2|G5E994,sp|Q5VW38|GP107_HUMAN Protein GPR107 OS=Homo sapiens GN=GPR107 PE=1 SV=1,Q5VW38,,,,,,,-0.10070168859041474,0.40560004274971,False
PG247197,Q15035,sp|Q15035|TRAM2_HUMAN Translocating chain-associated membrane protein 2 OS=Homo sapiens GN=TRAM2 PE=1 SV=1,Q15035,,,,,,,-0.2617479810816694,0.233987454803456,False
PG243767,Q9HCI7|Q9HCI7-2,sp|Q9HCI7|MSL2_HUMAN E3 ubiquitin-protein ligase MSL2 OS=Homo sapiens GN=MSL2 PE=1 SV=2,Q9HCI7,,,,,,,0.058108849087311565,0.517477929482387,False
PG247203,Q9UPQ4|Q9UPQ4-2|E5RGB3,sp|Q9UPQ4-2|TRI35_HUMAN Isoform 2 of Tripartite motif-containing protein 35 OS=Homo sapiens GN=TRIM35,Q9UPQ4-2,,,,,,,-0.15127418705181214,0.331346797775825,False
PG249592,Q49A88|Q49A88-2|Q49A88-3|Q49A88-5|Q49A88-6|J3QT39|C9JU82|A0A0A0MR27,sp|Q49A88|CCD14_HUMAN Coiled-coil domain-containing protein 14 OS=Homo sapiens GN=CCDC14 PE=1 SV=3,Q49A88,,,,,,,-0.14185235401298688,0.388406926328401,False
PG256998,Q5FWF4-2,sp|Q5FWF4-2|ZRAB3_HUMAN Isoform 2 of DNA annealing helicase and endonuclease ZRANB3 OS=Homo sapiens GN=ZRANB3,Q5FWF4-2,,,,,,,2.326253469324798,0.0209382746078914,True
PG255207,Q92786,sp|Q92786|PROX1_HUMAN Prospero homeobox protein 1 OS=Homo sapiens GN=PROX1 PE=1 SV=2,Q92786,,,,,,,0.010827827229538291,0.674451573889744,False
PG243684,P39210|B5MC53|G5E9F5|B5MCF8|E7EX18,tr|E7EX18|E7EX18_HUMAN Protein Mpv17 OS=Homo sapiens GN=MPV17 PE=1 SV=1,E7EX18,,,,,,,-0.03735049107061574,0.575733952160154,False
PG253677,Q96EZ8|Q96EZ8-2|Q96EZ8-3,sp|Q96EZ8-2|MCRS1_HUMAN Isoform 2 of Microspherule protein 1 OS=Homo sapiens GN=MCRS1,Q96EZ8-2,,,,,,,-0.03369597024731303,0.575733952160154,False
PG248568,P10398,sp|P10398|ARAF_HUMAN Serine/threonine-protein kinase A-Raf OS=Homo sapiens GN=ARAF PE=1 SV=2,P10398,,,,,,,-0.3628283853241338,0.131199724024056,False
PG255211,P79522-2,sp|P79522-2|PRR3_HUMAN Isoform 2 of Proline-rich protein 3 OS=Homo sapiens GN=PRR3,P79522-2,,,,,,,-0.40525074358648194,0.244587591700048,False
PG253971,Q9ULV0,sp|Q9ULV0|MYO5B_HUMAN Unconventional myosin-Vb OS=Homo sapiens GN=MYO5B PE=1 SV=3,Q9ULV0,,,,,,,-0.10204404860535896,0.388406926328401,False
PG248713,Q9GZN1|G3V1Y1,sp|Q9GZN1|ARP6_HUMAN Actin-related protein 6 OS=Homo sapiens GN=ACTR6 PE=1 SV=1,Q9GZN1,,,,,,,0.09187017227490266,0.403493106475013,False
PG243907,Q13615|Q13615-2|Q13615-3,sp|Q13615|MTMR3_HUMAN Myotubularin-related protein 3 OS=Homo sapiens GN=MTMR3 PE=1 SV=3,Q13615,,,,,,,-0.15699925712931445,0.256254823651821,False
PG265444,D6R9C3,tr|D6R9C3|D6R9C3_HUMAN Cytochrome c oxidase subunit 7A2; mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1,D6R9C3,,,,,,,-0.03984815837661754,0.616670559630858,False
PG242350,Q70UQ0|Q70UQ0-2,sp|Q70UQ0|IKIP_HUMAN Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Homo sapiens GN=IKBIP PE=1 SV=1,Q70UQ0,,,,,,,-0.408222791682952,0.118586043926815,False
PG249291,Q8TBE0|Q8TBE0-2|Q8TBE0-3,sp|Q8TBE0|BAHD1_HUMAN Bromo adjacent homology domain-containing 1 protein OS=Homo sapiens GN=BAHD1 PE=1 SV=2,Q8TBE0,,,,,,,0.15653189821767366,0.539522243676057,False
PG255134,Q9P215,sp|Q9P215|POGK_HUMAN Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2,Q9P215,,,,,,,0.2123099188261682,0.364076181274555,False
PG250701,O75629,sp|O75629|CREG1_HUMAN Protein CREG1 OS=Homo sapiens GN=CREG1 PE=1 SV=1,O75629,,,,,,,-0.01293818966921909,0.652632539571357,False
PG252406,Q06787-8|Q06787-9,sp|Q06787-9|FMR1_HUMAN Isoform 9 of Synaptic functional regulator FMR1 OS=Homo sapiens GN=FMR1,Q06787-9,,,,,,,-0.08157398085941638,0.395748910732694,False
PG254865,Q99640|Q99640-3,sp|Q99640|PMYT1_HUMAN Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase OS=Homo sapiens GN=PKMYT1 PE=1 SV=1,Q99640,,,,,,,-0.13268778586339028,0.377181496325814,False
PG246427,Q86VP1|Q86VP1-2|Q86VP1-3|Q86VP1-4|B8ZZD4,tr|B8ZZD4|B8ZZD4_HUMAN Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 PE=1 SV=1,B8ZZD4,,,,,,,0.048904450191061474,0.583701243111023,False
PG243633,Q13164|Q13164-2|Q13164-3|Q13164-4,sp|Q13164|MK07_HUMAN Mitogen-activated protein kinase 7 OS=Homo sapiens GN=MAPK7 PE=1 SV=2,Q13164,,,,,,,0.07046879605282916,0.517320363249418,False
PG262713,B5MCU0,tr|B5MCU0|B5MCU0_HUMAN R3H domain-containing protein 2 OS=Homo sapiens GN=R3HDM2 PE=1 SV=1,B5MCU0,,,,,,,0.16663428457334425,0.414214833782353,False
PG251637,Q8TEH3,sp|Q8TEH3|DEN1A_HUMAN DENN domain-containing protein 1A OS=Homo sapiens GN=DENND1A PE=1 SV=2,Q8TEH3,,,,,,,0.5116974599557251,0.084250580489987,False
PG246420,Q9BVV6|Q9BVV6-2|Q9BVV6-3|Q9BVV6-4|A0A087WYM5,sp|Q9BVV6-3|TALD3_HUMAN Isoform 3 of Protein TALPID3 OS=Homo sapiens GN=KIAA0586,Q9BVV6-3,,,,,,,2.228216821267689,0.0210601100329114,True
PG263417,H0YM48,tr|H0YM48|H0YM48_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like; mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=1,H0YM48,,,,,,,0.2787428614177901,0.244277855577175,False
PG259999,A0A0B4J1V9,tr|A0A0B4J1V9|A0A0B4J1V9_HUMAN Helicase; lymphoid-specific; isoform CRA_b OS=Homo sapiens GN=HELLS PE=1 SV=1,A0A0B4J1V9,,,,,,,-0.03239920155798818,0.61746295040024,False
PG246292,A2VDJ0|A2VDJ0-5,sp|A2VDJ0-5|T131L_HUMAN Isoform 4 of Transmembrane protein 131-like OS=Homo sapiens GN=KIAA0922,A2VDJ0-5,,,,,,,0.3192658124536001,0.361408219922089,False
PG250724,O95639,sp|O95639|CPSF4_HUMAN Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens GN=CPSF4 PE=1 SV=1,O95639,,,,,,,-0.1524152791114065,0.475180147806052,False
PG246141,O14662-2,sp|O14662-2|STX16_HUMAN Isoform A of Syntaxin-16 OS=Homo sapiens GN=STX16,O14662-2,,,,,,,-0.036459176141408506,0.634252845357352,False
PG248771,Q9ULJ7|Q9ULJ7-2,sp|Q9ULJ7|ANR50_HUMAN Ankyrin repeat domain-containing protein 50 OS=Homo sapiens GN=ANKRD50 PE=1 SV=4,Q9ULJ7,,,,,,,-0.10410915205123296,0.470530291998185,False
PG252992,Q9HC44,sp|Q9HC44|GPBL1_HUMAN Vasculin-like protein 1 OS=Homo sapiens GN=GPBP1L1 PE=1 SV=1,Q9HC44,,,,,,,-0.10478192427170746,0.460724600069865,False
PG255345,Q9HB90,sp|Q9HB90|RRAGC_HUMAN Ras-related GTP-binding protein C OS=Homo sapiens GN=RRAGC PE=1 SV=1,Q9HB90,,,,,,,0.039805677760528436,0.616870871207352,False
PG244012,Q9UN36|Q9UN36-2|Q9UN36-3|Q9UN36-4|Q9UN36-6|A0A0A0MS87|H0YJT9|G3V578,sp|Q9UN36|NDRG2_HUMAN Protein NDRG2 OS=Homo sapiens GN=NDRG2 PE=1 SV=2,Q9UN36,,,,,,,-0.013529110023793993,0.650138183867514,False
PG246356,Q9NXF1|Q9NXF1-2,sp|Q9NXF1|TEX10_HUMAN Testis-expressed protein 10 OS=Homo sapiens GN=TEX10 PE=1 SV=2,Q9NXF1,,,,,,,-0.047190088586320816,0.606617982185646,False
PG249119,Q7Z3C6,sp|Q7Z3C6|ATG9A_HUMAN Autophagy-related protein 9A OS=Homo sapiens GN=ATG9A PE=1 SV=3,Q7Z3C6,,,,,,,-0.09880716193556052,0.461930803340825,False
PG253454,Q9H063|E9PR76|E9PSH4,tr|E9PSH4|E9PSH4_HUMAN Repressor of RNA polymerase III transcription MAF1 homolog OS=Homo sapiens GN=MAF1 PE=1 SV=1,E9PSH4,,,,,,,-0.13854740690107928,0.343827952729772,False
PG250134,Q5VT06,sp|Q5VT06|CE350_HUMAN Centrosome-associated protein 350 OS=Homo sapiens GN=CEP350 PE=1 SV=1,Q5VT06,,,,,,,0.04104630946462284,0.55378081152211,False
PG257167,P37275|P37275-2|P37275-3|P37275-4|P37275-5,sp|P37275-2|ZEB1_HUMAN Isoform 2 of Zinc finger E-box-binding homeobox 1 OS=Homo sapiens GN=ZEB1,P37275-2,,,,,,,0.23479884541213183,0.265738880784894,False
PG249190,Q9NYF8-3|E9PK91,tr|E9PK91|E9PK91_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=1,E9PK91,,,,,,,0.26473371788401495,0.143347005145156,False
PG248891,Q76L83|E7EWD6,sp|Q76L83|ASXL2_HUMAN Putative Polycomb group protein ASXL2 OS=Homo sapiens GN=ASXL2 PE=1 SV=1,Q76L83,,,,,,,-0.297065779278802,0.0910681892812883,False
